vdd,seed,edyn,eword,sense_min,sense_max,sense_thresh_latency
0.9,1,-9.17326e-13,-2.46531e-12,-2.325347e-01,1.044439e+00,4.591951e-12
0.9,2,-9.17326e-13,-2.46531e-12,-2.325347e-01,1.044439e+00,4.591951e-12
1.0,1,1.00980e-12,2.71384e-12,-2.713523e-01,1.169261e+00,1.949242e-12
1.0,2,1.00980e-12,2.71384e-12,-2.713523e-01,1.169261e+00,1.949242e-12
1.1,1,9.53223e-13,2.56179e-12,-2.968866e-01,1.281925e+00,1.102995e-12
1.1,2,9.53223e-13,2.56179e-12,-2.968866e-01,1.281925e+00,1.102995e-12
