log_path,experiment,vdd,seed,sense_min_mV,sense_max_mV,sense_thresh_latency_ps,noise_amp,driver_scale,phase_ns
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,15,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,15,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,15,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,16,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,16,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,16,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,17,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,17,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,17,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,18,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,18,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,18,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,19,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,19,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,19,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,20,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,20,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,20,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,21,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,21,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,21,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,22,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,22,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,22,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,23,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,23,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,23,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,24,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,24,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,24,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,25,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,25,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,25,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,26,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,26,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,26,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,27,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,27,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,27,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,28,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,28,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,28,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,29,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,29,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,29,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,30,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,30,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,30,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,31,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,31,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,31,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,32,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,32,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,32,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,33,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,33,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,33,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,34,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,34,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,34,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,35,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,35,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,35,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,36,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,36,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,36,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,37,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,37,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,37,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,38,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,38,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,38,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,39,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,39,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,39,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,40,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,40,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,40,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,41,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,41,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.1,41,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,0.9,42,860.0,900.4706,0.12499539999999999,10m,,
logs/noise-mismatch-10m/mismatch_mc.csv,Noise sweep 10m,1.0,42,860.0,900.4706,0.12499539999999999,10m,,
