experiment,subset,log_path,noise_amp,driver_scale,phase_ns,vdd,seed,edyn_pJ,eword_pJ,sense_min_mV,sense_max_mV,sense_thresh_latency_ps,comp_toggle_latency_ps,comp_pass,headroom_histogram
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,9,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,9,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,9,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,10,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,10,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,10,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,11,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,11,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,11,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,12,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,12,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.1,12,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,0.9,13,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
Noise sweep 10m,,logs/noise-mismatch-10m/mismatch_mc.csv,10m,,,1.0,13,0.31080399999999997,3.3411500000000003,860.0,900.4706,0.12499539999999999,,failed,logs/noise-mismatch-10m/headroom_histogram.csv
