# noise_amp=5m driver_scale=1.5 mismatch MC data
vdd,seed,edyn,eword,sense_min,sense_max,sense_thresh_latency
0.9,1,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,2,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,3,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,4,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,5,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,6,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,7,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,8,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,9,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,10,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,11,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,12,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,13,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,14,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,15,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,16,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,17,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,18,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,19,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,20,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,21,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,22,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,23,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,24,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,25,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,26,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,27,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,28,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,29,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,30,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,31,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,32,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,33,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,34,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,35,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,36,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,37,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,38,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,39,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,40,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,41,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,42,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,43,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,44,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,45,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,46,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,47,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,48,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,49,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
0.9,50,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,1,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,2,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,3,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,4,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,5,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,6,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,7,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,8,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,9,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,10,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,11,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,12,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,13,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,14,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,15,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,16,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,17,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,18,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,19,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,20,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,21,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,22,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,23,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,24,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,25,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,26,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,27,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
1.0,28,3.10804e-13,3.34115e-12,8.600000e-01,9.004706e-01,1.249954e-13
