phase_ns,seed,edyn,eword,sense_min,sense_max,sense_thresh_latency
-0.5,1,-2.54828e-15,-2.73940e-14,-2.709711e-01,1.169253e+00,1.947623e-12
0.0,1,2.47695e-13,2.66272e-12,-2.709718e-01,1.169253e+00,1.947579e-12
0.5,1,2.13960e-13,2.30007e-12,-2.709712e-01,1.169253e+00,1.947580e-12
