vdd,seed,edyn,eword,sense_min,sense_max
0.9,1,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,2,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,3,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,4,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,5,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,6,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,7,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,8,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,9,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,10,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,11,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,12,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,13,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,14,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,15,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,16,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,17,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,18,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,19,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,20,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,21,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,22,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,23,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,24,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,25,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,26,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,27,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,28,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,29,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,30,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,31,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,32,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,33,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,34,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,35,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,36,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,37,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,38,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,39,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,40,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,41,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,42,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,43,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,44,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,45,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,46,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,47,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,48,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,49,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
0.9,50,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,1,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,2,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
1.0,3,3.13128e-13,3.36612e-12,-2.948760e-04,2.949067e-04
